שם יישוב,שם יישוב,סמל,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2013,יהודים ואחרים,יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,תעתיק פרסומים,שנת עיבוד,שדה לקישור
אבו ג'ווייעד (שבט),,967,ABU JUWEI'ID,6,62,623,,,3,,,,,,460,,2040057100,,699,3481,,,http://gis/Yeshuvim_allyears/start.aspx?stl=967
אבו גוש,אבו גוש,472,ABU GHOSH                                         ,1,11,111,99,444,2,6600,,,6.5,,280,,2105263481,686,152,6129,Abu Ghosh,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=472
אבו סנאן,אבו סנאן,473,ABU SINAN                                         ,2,24,245,99,,2,13045,,,13.0,,270,,2160676282,71,252,1330,Abu Sinan,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=473
אבו סריחאן (שבט),,935,ABU SUREIHAN,6,62,623,,,3,,,,,,460,,1865057450,,699,3481,,,http://gis/Yeshuvim_allyears/start.aspx?stl=935
אבו עבדון (שבט),,958,ABU  ABDUN,6,62,623,,,3,,,,,,460,,1850057900,,699,3481,,,http://gis/Yeshuvim_allyears/start.aspx?stl=958
אבו עמאר (שבט),,1042,ABU  AMMAR,6,62,623,,,3,,,,,,460,,1950056700,,699,3481,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1042
אבו עמרה (שבט),,932,ABU  AMRE,6,62,623,,,3,,,,,,460,,1850057100,,699,3481,,,http://gis/Yeshuvim_allyears/start.aspx?stl=932
אבו קורינאת (יישוב),אבו קורינאת (יישוב),1342,ABU QUREINAT                                      ,6,62,623,68,,2,1133,,,1.1,,450,,1962956100,450,624,3481,Abu Qureinat,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1342
אבו קורינאת (שבט),,968,ABU QUREINAT,6,62,623,,,3,,,,,,460,,1970056000,,699,3481,,,http://gis/Yeshuvim_allyears/start.aspx?stl=968
אבו רובייעה (שבט),,966,ABU RUBEI'A,6,62,623,,,3,,,,,,460,,2050057200,,699,3481,,,http://gis/Yeshuvim_allyears/start.aspx?stl=966
אבו רוקייק (שבט),,961,ABU RUQAYYEQ,6,62,623,,,3,,,,,,460,,1920056600,,699,3481,,,http://gis/Yeshuvim_allyears/start.aspx?stl=961
אבו תלול,אבו תלול,1375,ABU TULUL                                         ,6,62,623,68,,,,,,,,510,,1934356585,388,624,3481,Abu Tulul                                         ,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1375
אבטין,אבטין,652,IBTIN                                             ,3,31,311,12,222,2,2651,,,2.7,,290,,2108874076,49,301,1160,Ibtin,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=652
אבטליון,אבטליון,1275,AVTALYON                                          ,2,24,241,56,,1,350,0.4,0.3,,1987                ,370,10,2331474908,362,205,1360,Avtalyon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1275
אביאל,אביאל,679,AVI'EL                                            ,3,32,324,45,,1,780,0.8,0.8,,1949                ,310,9,1996171533,52,351,1181,Avi'el,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=679
אביבים,אביבים,1115,AVIVIM                                            ,2,21,212,2,,1,487,0.5,0.5,,1960                ,310,1,2444177707,725,209,1230,Avivim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1115
אביגדור,אביגדור,819,AVIGEDOR                                          ,6,61,611,33,143,1,767,0.8,0.8,,1950                ,310,1,1757162427,63,616,3830,Avigedor,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=819
אביחיל,אביחיל,175,AVIHAYIL                                          ,4,41,411,16,141,1,1381,1.4,1.4,,1932                ,310,1,1880769526,35,409,5120,Avihayil,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=175
אביטל,אביטל,2052,AVITAL                                            ,2,23,234,8,,1,479,0.5,0.5,,1953                ,310,1,2291271816,72,204,1420,Avital,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2052
אביעזר,אביעזר,1070,AVI'EZER                                          ,1,11,112,26,444,1,764,0.8,0.8,,1958                ,310,2,2016662104,377,151,7004,Avi'ezer,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1070
אבירים,אבירים,1220,ABBIRIM                                           ,2,24,244,52,,1,186,0.2,0.2,,1980                ,370,19,2271577148,561,255,1320,Abbirim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1220
אבן יהודה,אבן יהודה,182,EVEN YEHUDA                                       ,4,41,411,99,141,1,12703,12.7,12.5,,1932                ,170,,1894568642,36,457,5120,Even Yehuda,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=182
אבן מנחם,אבן מנחם,1081,EVEN MENAHEM                                      ,2,24,244,52,,1,280,0.3,0.3,,1960                ,310,1,2278277545,605,255,1350,Even Menahem,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1081
אבן ספיר,אבן ספיר,783,EVEN SAPPIR                                       ,1,11,111,26,444,1,707,0.7,0.7,,1950                ,310,1,2128463002,615,151,6130,Even Sappir,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=783
אבן שמואל,אבן שמואל,400,EVEN SHEMU'EL                                     ,6,61,612,34,,1,1350,1.4,1.3,,1956                ,350,,1775460940,155,631,3820,Even Shemu'el,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=400
אבני איתן,אבני איתן,4011,AVNE ETAN                                         ,2,29,294,71,,1,583,0.6,0.6,,1978                ,310,2,2719674774,381,219,1270,Avne Etan,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=4011
אבני חפץ,אבני חפץ,3793,AVNE HEFEZ                                        ,7,73,,72,,1,1675,1.7,1.7,,1990                ,370,11,2071268798,191,710,4164,Avne Hefez,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3793
אבנת,אבנת,3786,AVENAT                                            ,7,75,,74,,1,112,0.1,0.1,,1983                ,370,,2414962074,-341,713,4355,Avenat,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3786
אבשלום,אבשלום,1311,AVSHALOM                                          ,6,62,622,38,,1,218,0.2,0.2,,1990                ,370,10,1361956745,91,653,3430,Avshalom,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1311
אדורה,אדורה,3759,ADORA                                             ,7,77,,78,,1,330,0.3,0.3,,1984                ,370,9,2017560676,652,715,4352,Adora,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3759
אדירים,אדירים,113,ADDIRIM                                           ,2,23,234,8,,1,243,0.2,0.2,,1956                ,310,1,2257971719,71,204,1420,Addirim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=113
אדמית,אדמית,1068,ADAMIT                                            ,2,24,244,4,,1,117,0.1,0.1,,1958                ,330,15,2199777600,449,201,1350,Adamit,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1068
אדרת,אדרת,1123,ADDERET                                           ,1,11,112,26,444,1,834,0.8,0.8,,1961                ,310,1,1995861869,433,151,7004,Adderet,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1123
אודים,אודים,446,UDIM                                              ,4,41,411,19,141,1,1251,1.3,1.2,,1948                ,310,10,1858268581,12,401,5120,Udim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=446
אודם,אודם,4010,ODEM                                              ,2,29,292,71,,1,104,0.1,0.1,,1976                ,320,6,2702878880,1050,219,1270,Odem,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=4010
אוהד,אוהד,1046,OHAD                                              ,6,62,622,38,,1,381,0.4,0.4,,1969                ,310,1,1458057199,131,653,3430,Ohad,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1046
אום אל-פחם,אום אל-פחם,2710,UMM AL-FAHM                                       ,3,32,323,0,,2,50597,,,50.6,,250,,2144971388,310,354,1470,Umm Al-Fahm,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2710
אום אל-קוטוף,אום אל-קוטוף,2024,UMM AL-QUTUF                                      ,3,32,323,14,,2,1009,,,1.0,,450,,2055370835,138,351,1450,Umm Al-Qutuf,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2024
אום בטין,אום בטין,1358,UMM BATIN                                         ,6,62,623,69,342,2,2824,,,2.8,,290,,1886757656,329,624,3481,Umm Batin,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1358
אומן,אומן,1108,OMEN                                              ,2,23,234,8,,1,319,0.3,0.3,,1958                ,350,,2230271878,65,204,1420,Omen,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1108
אומץ,אומץ,680,OMEZ                                              ,4,41,412,16,141,1,755,0.8,0.8,,1949                ,310,1,1996969743,33,409,5120,Omez,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=680
אופקים,אופקים,31,OFAQIM                                            ,6,62,622,0,,1,25074,24.9,23.3,,1955                ,160,,1639057980,141,601,3430,Ofaqim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=31
אור הגנוז,אור הגנוז,1294,OR HAGANUZ                                        ,2,21,212,2,,1,436,0.4,0.4,,1989                ,320,11,2421276781,732,209,1230,Or HaGanuz,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1294
אור הנר,אור הנר,67,OR HANER                                          ,6,61,614,37,,1,663,0.7,0.6,,1957                ,330,15,1620260736,56,653,3840,Or HaNer,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=67
אור יהודה,אור יהודה,2400,OR YEHUDA                                         ,5,52,512,0,122,1,35526,35.5,34.9,,1950                ,160,,1863165963,29,552,2370,Or Yehuda,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2400
אור עקיבא,אור עקיבא,1020,OR AQIVA                                          ,3,32,324,0,,1,16560,16.5,15.3,,1951                ,170,,1927471263,15,353,1180,Or Aqiva,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1020
אורה,אורה,780,ORA                                               ,1,11,111,26,444,1,1268,1.3,1.2,,1950                ,310,1,2145762903,804,151,6130,Ora,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=780
אורון,,1771,,6,62,626,48,,,,,,,,520,,2015953577,,620,3450,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1771
אורות,אורות,2012,OROT                                              ,6,61,611,33,143,1,476,0.5,0.5,,1952                ,310,1,1749262782,50,616,3830,Orot,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2012
אורטל,אורטל,4013,ORTAL                                             ,2,29,292,71,,1,291,0.3,0.3,,1978                ,330,15,2718677661,885,219,1270,Ortal,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=4013
אורים,אורים,403,URIM                                              ,6,62,622,38,,1,489,0.5,0.5,,1946                ,330,15,1545457936,94,653,3430,Urim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=403
אורנים,אורנים,882,ORANIM                                            ,3,31,311,12,222,1,221,0.2,0.2,,1951                ,340,,2104973529,75,301,1160,Oranim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=882
אורנית,אורנית,3760,ORANIT                                            ,7,73,,99,145,1,7626,7.6,7.5,,1985                ,180,,1994767087,125,718,4164,Oranit,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3760
אושה,אושה,278,USHA                                              ,3,31,311,12,222,1,452,0.5,0.4,,1937                ,330,15,2110474459,31,301,1160,Usha,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=278
אזור,אזור,565,AZOR                                              ,5,53,513,99,123,1,11840,11.8,11.3,,1948                ,170,,1819265901,25,552,2200,Azor,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=565
"אזור אילון מ""א 4",,1852,,2,24,244,4,,,,,,,,530,,2196077510,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1852
"אזור אילון מ""א 52",,1851,,2,24,244,52,,,,,,,,530,,2266077360,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1851
"אזור אילון של""ש",,1853,,2,24,244,,,,,,,,,530,,2314076950,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1853
"אזור אשדוד מ""א 29",,1922,,6,61,613,29,,,,,,,,530,,1726063970,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1922
"אזור אשדוד מ""א 33",,1921,,6,61,613,33,,,,,,,,530,,1649062930,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1921
"אזור אשדוד של""ש",,1923,,6,61,613,,,,,,,,,530,,1681064050,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1923
"אזור אשקלון מ""א 36",,1924,,6,61,614,36,,,,,,,,530,,1663061620,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1924
"אזור אשקלון מ""א 37",,1926,,6,61,614,37,,,,,,,,530,,1637060210,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1926
"אזור באר שבע מ""א 41",,1937,,6,62,623,41,,,,,,,,530,,1807058120,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1937
"אזור באר שבע מ""א 51",,1938,,6,62,623,51,,,,,,,,530,,2240057100,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1938
"אזור באר שבע של""ש",,1939,,6,62,623,,,,,,,,,530,,1974056740,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1939
"אזור בשור מ""א 38",,1933,,6,62,622,38,,,,,,,,530,,1457057060,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1933
"אזור בשור מ""א 39",,1935,,6,62,622,39,,,,,,,,530,,1505059540,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1935
"אזור בשור מ""א 42",,1934,,6,62,622,42,,,,,,,,530,,1608057600,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1934
"אזור גלילות מ""א 19",,1907,,5,51,511,19,,,,,,,,530,,,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1907
"אזור גרר מ""א 39",,1931,,6,62,621,39,,,,,,,,530,,1572058820,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1931
"אזור גרר מ""א 41",,1929,,6,62,621,41,,,,,,,,530,,1725058920,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1929
"אזור גרר מ""א 42",,1930,,6,62,621,42,,,,,,,,530,,1679059410,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1930
"אזור זכרון יעקב מ""א 15",,1866,,3,32,322,15,,,,,,,,530,,2001072840,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1866
"אזור זכרון יעקב של""ש",,1867,,3,32,322,,,,,,,,,530,,2040072880,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1867
"אזור חדרה מ""א 14",,1873,,3,32,324,14,,,,,,,,530,,2012070620,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1873
"אזור חדרה מ""א 15",,1872,,3,32,324,15,,,,,,,,530,,1932070920,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1872
"אזור חדרה מ""א 45",,1871,,3,32,324,45,,,,,,,,530,,1999071630,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1871
"אזור חדרה של""ש",,1874,,3,32,324,,,,,,,,,530,,2029069980,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1874
"אזור חולון של""ש",,1909,,5,53,513,,,,,,,,,530,,1817066000,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1909
"אזור חיפה מ""א 12",,1860,,3,31,311,12,,,,,,,,530,,2104074200,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1860
"אזור חיפה של""ש",,1862,,3,31,311,,,,,,,,,530,,2088073220,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1862
"אזור חצור מ""א 1",,1813,,2,21,213,1,,,,,,,,530,,2545075990,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1813
"אזור חצור מ""א 55",,1814,,2,21,213,55,,,,,,,,530,,2584076640,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1814
"אזור חצור של""ש",,1815,,2,21,213,,,,,,,,,530,,2549076740,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1815
"אזור יחיעם מ""א 2",,1848,,2,24,243,2,,,,,,,,530,,2386075990,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1848
"אזור יחיעם מ""א 4",,1846,,2,24,243,4,,,,,,,,530,,2180076770,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1846
"אזור יחיעם מ""א 52",,1847,,2,24,243,52,,,,,,,,530,,2283076610,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1847
"אזור יחיעם מ""א 56",,1849,,2,24,243,56,,,,,,,,530,,2214075970,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1849
"אזור יחיעם של""ש",,1850,,2,24,243,,,,,,,,,530,,2325076540,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1850
"אזור ים המלח מ""א 51",,1942,,6,62,624,51,,,,,,,,530,,2340056200,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1942
"אזור יקנעם מ""א 13",,1836,,2,23,235,13,,,,,,,,530,,2121072800,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1836
"אזור יקנעם מ""א 9",,1835,,2,23,235,9,,,,,,,,530,,2115073310,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1835
"אזור כינרות מ""א 3",,1805,,2,22,221,3,,,,,,,,530,,2481074680,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1805
"אזור כנרות מ""א 1",,1816,,2,22,221,1,,,,,,,,530,,2528075660,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1816
"אזור כנרות מ""א 6",,1817,,2,22,221,6,,,,,,,,530,,2610074110,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1817
"אזור כנרות של""ש",,1818,,2,22,221,,,,,,,,,530,,,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1818
"אזור כרמיאל מ""א 2",,1843,,2,24,242,2,,,,,,,,530,,2339075980,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1843
"אזור כרמיאל מ""א 56",,1844,,2,24,242,56,,,,,,,,530,,2327075530,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1844
"אזור כרמיאל של""ש",,1845,,2,24,242,,,,,,,,,530,,2369075930,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1845
"אזור לכיש מ""א 34",,1919,,6,61,612,34,,,,,,,,530,,1769061100,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1919
"אזור לכיש מ""א 35",,1917,,6,61,612,35,,,,,,,,530,,1870061370,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1917
"אזור לכיש מ""א 41",,1920,,6,61,612,41,,,,,,,,530,,1888059260,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1920
"אזור לכיש מ""א 50",,1918,,6,61,612,50,,,,,,,,530,,1836060440,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1918
"אזור מודיעין מ""א 25",,1887,,4,43,431,25,,,,,,,,530,,2311074610,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1887
"אזור מודיעין מ""א 30",,1890,,4,43,431,30,,,,,,,,530,,2010069770,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1890
"אזור מודיעין של""ש",,1895,,4,43,431,,,,,,,,,530,,1833067310,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1895
"אזור מלאכי מ""א 33",,1911,,6,61,611,33,,,,,,,,530,,1755063200,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1911
"אזור מלאכי מ""א 34",,1915,,6,61,611,34,,,,,,,,530,,1766062160,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1915
"אזור מלאכי מ""א 35",,1913,,6,61,611,35,,,,,,,,530,,1816062200,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1913
"אזור מלאכי מ""א 50",,1914,,6,61,611,50,,,,,,,,530,,1780061800,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1914
"אזור נהרייה מ""א 4",,1855,,2,24,245,4,,,,,,,,530,,2125076910,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1855
"אזור נהרייה של""ש",,1856,,2,24,245,,,,,,,,,530,,2131076190,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1856
"אזור עכו מ""א 4",,1858,,2,24,246,4,,,,,,,,530,,2128075480,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1858
"אזור עכו מ""א 56",,1857,,2,24,246,56,,,,,,,,530,,2128075670,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1857
"אזור עכו של""ש",,1859,,2,24,246,,,,,,,,,530,,2127075860,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1859
"אזור פתח תקווה מ""א 20",,1888,,4,42,422,20,,,,,,,,530,,1933066570,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1888
"אזור פתח תקווה מ""א 25",,1886,,4,42,422,25,,,,,,,,530,,1984065740,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1886
"אזור פתח תקווה של""ש",,1889,,4,42,422,,,,,,,,,530,,1921066200,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1889
"אזור ראשל""צ מ""א 27",,1903,,4,44,442,27,,,,,,,,530,,1753064760,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1903
"אזור ראשל""צ של""ש",,1904,,4,44,442,,,,,,,,,530,,1755065150,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1904
"אזור רחובות מ""א 28",,1896,,4,44,441,28,,,,,,,,530,,1803064000,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1896
"אזור רחובות מ""א 29",,1899,,4,44,441,29,,,,,,,,530,,1721063800,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1899
"אזור רחובות מ""א 30",,1898,,4,44,441,30,,,,,,,,530,,1843064140,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1898
